,title,links
55,board decisions,https://rura.rw/index.php?id=70
56,draft regulations and guidelines,https://rura.rw/index.php?id=235
57,sector reports,https://rura.rw/index.php?id=176
58,statistics,https://rura.rw/index.php?id=71
59,faqs,https://rura.rw/index.php?id=223
60,water   sanitation,https://rura.rw/index.php?id=62
61,overview,https://rura.rw/index.php?id=153
62,sub sectors and services,https://rura.rw/index.php?id=165
63,water,https://rura.rw/index.php?id=74
64,sanitation,https://rura.rw/index.php?id=75
65,regulatory instruments,https://rura.rw/index.php?id=169
66,laws and orders,https://rura.rw/index.php?id=76
67,regulations and guidelines,https://rura.rw/index.php?id=167
68,board decisions,https://rura.rw/index.php?id=77
69,draft regulations and guidelines,https://rura.rw/index.php?id=231
70,statistics,https://rura.rw/index.php?id=78
71,faqs,https://rura.rw/index.php?id=224
72,transport,https://rura.rw/index.php?id=89
73,overview,https://rura.rw/index.php?id=89
74,sub sectors and services,https://rura.rw/index.php?id=178
75,road transport,https://rura.rw/index.php?id=81
76,freight forwarders service,https://rura.rw/index.php?id=234
77,waterways transport,https://rura.rw/index.php?id=82
78,regulatory instruments,https://rura.rw/index.php?id=179
79,laws and orders,https://rura.rw/index.php?id=84
80,regulations and guidelines,https://rura.rw/index.php?id=85
81,board decisions,https://rura.rw/index.php?id=181
82,sector  reports,https://rura.rw/index.php?id=185
83,statistics,https://rura.rw/index.php?id=86
84,faqs,https://rura.rw/index.php?id=88
85,online services,https://rura.rw/index.php?id=269
86,all online services,https://licensing.rura.rw/
87,media center,https://rura.rw/index.php?id=17
88,news,https://rura.rw/index.php?id=38
89,upcoming events,https://rura.rw/index.php?id=37
90,press release,https://rura.rw/index.php?id=34
91,jobs,https://rura.rw/index.php?id=33
92,announcements,https://rura.rw/index.php?id=187
93,the regulator magazine,https://rura.rw/index.php?id=8
94,public notices,https://rura.rw/index.php?id=227
95,reports,https://rura.rw/index.php?id=29
96,tenders,https://rura.rw/index.php?id=133
97,contact us,https://rura.rw/index.php?id=4
98,ict sector,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=5&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=39b2a753d27b615aed7a70e896c563dd
99,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=5&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=39b2a753d27b615aed7a70e896c563dd
100,transport sector,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=9&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=1e306f11763554a3c2ec733ce42b81a8
101,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=9&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=1e306f11763554a3c2ec733ce42b81a8
102,water and sanitation sector,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=10&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=080d8ba93034ea8804a270818390fcc7
103,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=10&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=080d8ba93034ea8804a270818390fcc7
104,energy sector,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=8&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=be96bf6a3f57cce32b1c5a95937656dd
105,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=8&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=be96bf6a3f57cce32b1c5a95937656dd
106,radiation protection ,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=7&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=16f185b66db7e293156282257bf28fb4
107,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=7&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=16f185b66db7e293156282257bf28fb4
108,"
          active mobile telephone subscriptions as of november  2022     
        ",https://rura.rw/fileadmin/Documents/ICT/statistics/Mobile-cellular_telephone_subscriptions_report_as_of_November_2022.pdf
109,"
           report for ict sector as of the 3rd quarter of the year 2022      
        ",https://rura.rw/fileadmin/Documents/ICT/statistics/Statistics_Report_for_Telecom__Media_and_Broadcasting_Sector_as_of_the_Third_Quarter_of_the_Year_2022.pdf
110,"
          list of electrical installations permit holders as of november  2022     
        ",https://rura.rw/fileadmin/Documents/Energy/Statistics/Report_on_list_of_Electrical_Installations_Permit_Holders_as_of_November__2022.pdf
111,online services,https://licensing.rura.rw/
112,driver vocational card  dvc ,https://dvc.rura.rw/
113,consumer complaint,https://licensing.rura.rw/customer/complaint/form
114,type approved devices,https://licensing.rura.rw/type-approval/search-devices
115,imei verification system,http://www.rura.rw/tcrplus/
116,annual reports,https://rura.rw/index.php?id=213
117,tariffs,https://rura.rw/index.php?id=288
118,statistics,https://rura.rw/index.php?id=276
119,revoked licenses,https://rura.rw/index.php?id=287
120,key ict documents,https://rura.rw/index.php?id=211
121,consumer affairs,https://rura.rw/index.php?id=279
122,regulations and guidelines,https://rura.rw/index.php?id=207
123,board decisions,https://rura.rw/index.php?id=208
124,regulations for consultation,https://rura.rw/index.php?id=291
125,faqs,https://rura.rw/index.php?id=217
126,tweets by rura_rwanda,https://twitter.com/RURA_RWANDA
127,"
          rura hosts government institutions to discuss nuclear safeguards implementation
        ",https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1697&tx_news_pi1%5Bday%5D=22&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=3114a7391a8b2521275ed7a234870177
128,"
          an ai ethics primer for the rwandan ai ecosystem and consultation on ethical ai guidelines 
        ",https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1696&tx_news_pi1%5Bday%5D=21&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=2bcaf2dbcf178d2fed28fb08b3183058
129,"
          rura in partnership with iaea hosts a regional workshop on radiation protection officers and qualified experts
        ",https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1691&tx_news_pi1%5Bday%5D=7&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=b7e6c9903dbdaefe8f39ab8a03ff9a88
130,"
          rura and zambian energy regulator exchange experience on lpg regulation
        ",https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1671&tx_news_pi1%5Bday%5D=23&tx_news_pi1%5Bmonth%5D=9&tx_news_pi1%5Byear%5D=2022&cHash=e0cbb1a8937231f8afa48064e0215e3e
131,"
          open call for the rwandan artificial intelligence ai  ecosystem  ai ethics applied programme and consultation
        ",https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1653&tx_news_pi1%5Bday%5D=22&tx_news_pi1%5Bmonth%5D=8&tx_news_pi1%5Byear%5D=2022&cHash=cd34289aa0182cdb2eb51a976bb05208
132,public notices,https://rura.rw/index.php?id=227
133,strategic plan 2022 2027,https://rura.rw/fileadmin/publication/Strategic_Plan_2022-2027_for_RURA_vision.pdf
134,e recruitment,https://rura.rw/recruitment/index.php
135,e internship ,https://rura.rw/internship/
136,rwanda trade portal,https://rwandatrade.rw/
137,republic of rwanda,https://rema.gov.rw/./
138,"
                home
              ",https://rema.gov.rw/home
139,"
                about
              ",https://rema.gov.rw/about
140,"
                our work
              ",https://rema.gov.rw/our-work
141,"
                services
              ",https://rema.gov.rw/services
142,"
                resources
              ",https://rema.gov.rw/resources
143,"
                updates
              ",https://rema.gov.rw/info/latest-updates
144,"
              english
            ",https://rema.gov.rw/home
145,"
                  english
                ",https://rema.gov.rw/home
146,"
                  kinyarwanda
                ",https://rema.gov.rw/rw/ahabanza
147,webmail,https://mail.rema.gov.rw:8443/
148,"
                        ecosystem restoration ",https://rema.gov.rw/our-work/ecosystem-restoration
149,"
                    read more
                     
                ",https://rema.gov.rw/our-work/ecosystem-restoration
150,"
                        biodiversity conservation",https://rema.gov.rw/our-work/biodiversity-conservation
151,"
                    read more
                     
                ",https://rema.gov.rw/our-work/biodiversity-conservation
152,"
                        climate change",https://rema.gov.rw/our-work/climate-change
153,"
                    read more
                     
                ",https://rema.gov.rw/our-work/climate-change
154,"
                        compliance and enforcement ",https://rema.gov.rw/our-work/compliance-and-enforcement
155,"
                    read more
                     
                ",https://rema.gov.rw/our-work/compliance-and-enforcement
156,"
                        advocacy",https://rema.gov.rw/our-work/advocacy
157,"
                    read more
                     
                ",https://rema.gov.rw/our-work/advocacy
158,"
                        international agreements",https://rema.gov.rw/our-work/international-agreements
159,"
                    read more
                     
                ",https://rema.gov.rw/our-work/international-agreements
160,"
                        lake kivu monitoring",https://rema.gov.rw/our-work/lake-kivu-monitoring
161,"
                    read more
                     
                ",https://rema.gov.rw/our-work/lake-kivu-monitoring
162,"
			explore more
		",https://rema.gov.rw/our-work/
163,"
			learn more
		",https://rema.gov.rw/about/
164,technical advice,http://www.applications.rema.gov.rw/
165,"
                read more
                 
            ",http://www.applications.rema.gov.rw/
166,waste management advice and authorisation ,http://197.243.21.235/environment/
167,"
                read more
                 
            ",http://197.243.21.235/environment/
168,environmental audit certificate ,http://applications.rema.gov.rw/
169,"
                read more
                 
            ",http://applications.rema.gov.rw/
170,climate finance support,http://www.applications.rema.gov.rw/
171,"
			explore more
		",https://rema.gov.rw/services/
172,"
                    rwanda launches a five year initiative to improve hazardous waste management ",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=667&cHash=7d1a1ab5df6ae871585ad218826307ba
173,"
                read more
                 
            ",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=667&cHash=7d1a1ab5df6ae871585ad218826307ba
174,"
                    rwanda calls on the world to put nature first and agree on an ambitious global biodiversity framework ",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=666&cHash=9ca9eb4b6b4dd78bd755efca0a0d42b0
175,"
                read more
                 
            ",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=666&cHash=9ca9eb4b6b4dd78bd755efca0a0d42b0
176,"
                    rwanda and norway to host a  roadmap to end plastic pollution by 2024  event at wcef2022",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=661&cHash=a0e0dc187ff6011806d5715ef56d3258
177,"
                read more
                 
            ",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=661&cHash=a0e0dc187ff6011806d5715ef56d3258
178,"
                    negotiations on global treaty to end plastic pollution begin in uruguay",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=660&cHash=634f2f35103b7d18f916fb3dd406e665
179,"
                read more
                 
            ",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=660&cHash=634f2f35103b7d18f916fb3dd406e665
180,"
                    aims and rema launch kigali city framework for noise and air quality monitoring campaign",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=659&cHash=ae9244f49800e4f476d9fcebe82ac7f5
181,"
                read more
                 
            ",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=659&cHash=ae9244f49800e4f476d9fcebe82ac7f5
182,"
                    rwanda welcomes cop27 outcomes on climate damages fund and keeping 1 5 degree goal alive",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=657&cHash=87e998b29eed4eb1a24e27ced67ab541
183,"
                read more
                 
            ",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=657&cHash=87e998b29eed4eb1a24e27ced67ab541
184,"
                    rwanda launches new eur 46m facility to finance public sector climate action",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=651&cHash=db3a3468eaf7cd1c989928b5703fcc1c
185,"
                read more
                 
            ",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=651&cHash=db3a3468eaf7cd1c989928b5703fcc1c
186,"
                    stakeholders from districts bordering lake kivu committed to take actions against lake kivu pollution",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=663&cHash=289bc1c490d9df828d04bf08d3b778ec
187,"
                read more
                 
            ",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=663&cHash=289bc1c490d9df828d04bf08d3b778ec
188,"
                    city of kigali awarded wetland city accreditation",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=650&cHash=025943939b1ecd73e2e749392bb67036
189,"
                read more
                 
            ",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=650&cHash=025943939b1ecd73e2e749392bb67036
190,"
                    national statement by president paul kagame at cop27",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=648&cHash=72a3df46339749db781a295f0b23d121
191,"
                read more
                 
            ",https://rema.gov.rw/info/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=648&cHash=72a3df46339749db781a295f0b23d121
192,wetlands,https://rema.gov.rw/our-work/link/wetlands
193,"
                read more
                 
            ",https://rema.gov.rw/our-work/link/wetlands
194,climate,http://climateportal.rema.gov.rw/
195,"
                read more
                 
            ",http://climateportal.rema.gov.rw/
196,air,https://rema.gov.rw/our-work/link/air
197,"
                read more
                 
            ",https://rema.gov.rw/our-work/link/air
198,biodiversity,https://rema.gov.rw/our-work/link/biodiversity
199,"
                read more
                 
            ",https://rema.gov.rw/our-work/link/biodiversity
200,water,https://rema.gov.rw/our-work/link/water
201,"
                read more
                 
            ",https://rema.gov.rw/our-work/link/water
202,forests,https://rema.gov.rw/our-work/link/forest
203,"
                read more
                 
            ",https://rema.gov.rw/our-work/link/forest
204,land,https://www.rlma.rw/index.php?id=67
205,"
                read more
                 
            ",https://www.rlma.rw/index.php?id=67
206,home,https://rema.gov.rw/home
207,about,https://rema.gov.rw/about
208,our work,https://rema.gov.rw/our-work
209,services,https://rema.gov.rw/services
210,resources,https://rema.gov.rw/resources
211,updates,https://rema.gov.rw/info/latest-updates
212,laws,https://rema.gov.rw/resources/laws
213,policies,https://rema.gov.rw/resources/policies
214,reports,https://rema.gov.rw/reports-1
215,publications,https://rema.gov.rw/resources/publications
216,faqs,https://rema.gov.rw/resources/faqs
217,conventions and protocols,https://rema.gov.rw/resources/conventions-and-protocols
218,projects,https://rema.gov.rw/our-work/projects
219,partnerships,https://rema.gov.rw/our-work/partnerships
220,report an environmental crime,https://rema.gov.rw/get-involved/report-a-crime
221,contact us,https://rema.gov.rw/get-involved/contact-us
222,home,https://www.rssb.rw/
223,schemes,https://www.rssb.rw/#schemes
224,investment,https://www.rssb.rw/investment
225,management,https://www.rssb.rw/management
226,about,https://www.rssb.rw/aboutus
227,careers,https://www.rssb.rw/careers
228,news   events,https://www.rssb.rw/news
229,maternity leaveenjoy your maternity leave with your full salarylearn more,https://www.rssb.rw/scheme/maternity-leave
230,medical schemeour health  our futurelearn more,https://www.rssb.rw/scheme/medical-scheme
231,cbhi schemegiving you happiness at best ratelearn more,https://www.rssb.rw/scheme/cbhi-scheme
232,pension schemeretire with dignitylearn more,https://www.rssb.rw/scheme/pension-scheme
233,occupational hazardswe are  here for youlearn more,https://www.rssb.rw/scheme/occupational-hazards
234,ejohezastart early and reap the rewards learn more,https://www.rssb.rw/scheme/ejo-heza
235,check contribution,https://www.imisanzu.rssb.rw/
236,rssb clearance certificate,https://www.rra.gov.rw/fileadmin/user_upload/tcc.html
237,apply for employee number,https://online.rssb.rw/index1152.php?menu=employer
238,pay employee contributions,https://etax.rra.gov.rw/
239,a month agorssb invests in katapult africa seed fund  nine start u  on friday 4th november 2022  katapult africa officially launched its accelerator program in kigali  rwanda together with its partners  norad   norwegi  read more  ,https://www.rssb.rw/rssb-invests-in-katapult-africa-seed-fund-nine-start-ups-selected-for-accelerator-program
240,7 months agocommunity based health insurance scheme receives financ  kigali   may 25th   2022   aids healthcare foundation rwanda  ahf rwanda  handed over a cheque of 133 866 000 frw to rwanda social security board to s  read more  ,https://www.rssb.rw/community-based-health-insurance-scheme-receives-financial-boost-from-ahf
241,7 months agorssb remembers former csr employees killed during the 1  rwanda social security board  rssb  has remembered its former employees who were killed during the 1994 genocide against the tutsi  the event was orga  read more  ,https://www.rssb.rw/rssb-remembers-former-csr-employees-killed-during-the-1994-genocide-against-the-tutsi
242,useful staff contacts,https://www.rssb.rw/useful-staff-contacts
243,tenders,https://www.rssb.rw/publications#tenders
244,gallery,https://www.flickr.com/photos/185734547@N05/
245,announcements,https://www.rssb.rw/publications#announcements
246,apply for employee number,https://online.rssb.rw/index1152.php?menu=employer
247,check for your contributions,https://www.imisanzu.rssb.rw/
248,pay employee contributions,https://etax.rra.gov.rw/
249,pension simulator,https://www.rssb.rw/?pensionSimulator=true
250,rssb clearance certificate,https://www.rra.gov.rw/fileadmin/user_upload/tcc.html
